Time[ms],Vup[V],Vdwn[V],Vdiode[V],Vled[V],Vscat[V],OD[],Temp[C],Color[],LoopCount[],Vfb_x[V],Vfb_y[V],Vfb_z[V]
32937,2.10950,2.10950,2.10950,1.36225,0.00000,0.87811,26.6378,1,2,0.29,0.00,0.00
33063,2.10950,2.10950,2.10950,1.36238,0.00000,0.87811,26.6378,1,2,0.29,0.00,0.00
33194,2.10950,2.10950,2.10950,1.36225,0.00000,0.87811,26.6378,1,2,0.29,0.00,0.00
33316,2.10962,2.10962,2.10962,1.36225,0.00000,0.87813,26.6378,1,2,0.29,0.00,0.00
33442,2.10962,2.10962,2.10962,1.36225,0.00000,0.87813,26.6378,1,2,0.29,0.00,0.00
33567,2.10975,2.10975,2.10975,1.36225,0.00000,0.87816,26.6378,1,2,0.29,0.00,0.00
33695,2.10975,2.10975,2.10975,1.36238,0.00000,0.87816,26.6378,1,2,0.29,0.00,0.00
33830,2.10975,2.10975,2.10975,1.36238,0.00000,0.87816,26.6378,1,2,0.29,0.00,0.00
33967,2.10987,2.10987,2.10987,1.36238,0.00000,0.87819,26.6378,1,2,0.29,0.00,0.00
34110,2.10987,2.10987,2.10987,1.36238,0.00000,0.87819,26.6378,1,2,0.29,0.00,0.00
34253,2.11000,2.11000,2.11000,1.36238,0.00000,0.87821,26.6378,1,2,0.29,0.00,0.00
34395,2.11000,2.11000,2.11000,1.36238,0.00000,0.87821,26.6378,1,2,0.29,0.00,0.00
34538,2.11012,2.11012,2.11012,1.36238,0.00000,0.87824,26.6378,1,2,0.29,0.00,0.00
34681,2.11025,2.11025,2.11025,1.36238,0.00000,0.87826,26.6378,1,2,0.29,0.00,0.00
34824,2.11025,2.11025,2.11025,1.36238,0.00000,0.87826,26.6378,1,2,0.29,0.00,0.00
34967,2.11025,2.11025,2.11025,1.36225,0.00000,0.87826,26.6378,1,2,0.29,0.00,0.00
35110,2.11037,2.11037,2.11037,1.36225,0.00000,0.87829,26.6378,1,2,0.29,0.00,0.00
35253,2.11037,2.11037,2.11037,1.36238,0.00000,0.87829,26.6390,1,2,0.29,0.00,0.00
35395,2.11050,2.11050,2.11050,1.36225,0.00000,0.87831,26.6378,1,2,0.29,0.00,0.00
35538,2.11063,2.11063,2.11063,1.36238,0.00000,0.87834,26.6390,1,2,0.29,0.00,0.00
35681,2.11063,2.11063,2.11063,1.36225,0.00000,0.87834,26.6390,1,2,0.29,0.00,0.00
35824,2.11063,2.11063,2.11063,1.36238,0.00000,0.87834,26.6378,1,2,0.29,0.00,0.00
